account_id,date,action,symbol,quantity,price,fees,amount,currency,raw_action,raw_date
acc-schwab,2022-09-28,BUY,HRZN,20,69.57,,-1391.4,USD,Buy,9/28/2022
acc-schwab,2022-09-28,DIVIDEND,HRZN,,,,25,USD,Dividend,9/28/2022
acc-ally,2023-02-02,BUY,CPWR,20,55.56,,-1111.2,USD,Buy,2/2/2023
acc-ally,2023-02-02,DIVIDEND,CPWR,,,,20,USD,Dividend,2/2/2023
acc-schwab,2023-05-07,BUY,VNTR,26,37.5,,-975,USD,Buy,5/7/2023
acc-schwab,2023-05-07,DIVIDEND,VNTR,,,,18,USD,Dividend,5/7/2023
acc-schwab,2023-05-17,DIVIDEND,HRZN,,,,25,USD,Dividend,5/17/2023
acc-agora,2023-08-10,BUY,AGRB,200,17.86,,-3572,BRL,Buy,8/10/2023
acc-agora,2023-08-10,DIVIDEND,AGRB,,,,60,BRL,Dividend,8/10/2023
acc-ally,2023-08-30,DIVIDEND,CPWR,,,,20,USD,Dividend,8/30/2023
acc-schwab,2023-10-28,BUY,LSB,40,30,,-1200,USD,Buy,10/28/2023
acc-ally,2023-11-13,BUY,QRTZ,20,33.98,,-679.6,USD,Buy,11/13/2023
acc-ally,2023-11-13,DIVIDEND,QRTZ,,,,10,USD,Dividend,11/13/2023
acc-agora,2023-11-15,DIVIDEND,AGRB,,,,60,BRL,Dividend,11/15/2023
acc-schwab,2023-12-25,DIVIDEND,VNTR,,,,18,USD,Dividend,12/25/2023
acc-schwab,2024-01-02,DIVIDEND,HRZN,,,,25,USD,Dividend,1/2/2024
acc-agora,2024-02-20,DIVIDEND,AGRB,,,,60,BRL,Dividend,2/20/2024
acc-schwab,2024-03-18,SELL,LSB,40,25.5,,1020,USD,Sell,3/18/2024
acc-ally,2024-03-26,DIVIDEND,CPWR,,,,20,USD,Dividend,3/26/2024
acc-schwab,2024-05-20,BUY,FLKS,50,16.36,,-818,USD,Buy,5/20/2024
acc-ally,2024-05-25,DIVIDEND,QRTZ,,,,10,USD,Dividend,5/25/2024
acc-agora,2024-05-27,DIVIDEND,AGRB,,,,60,BRL,Dividend,5/27/2024
acc-ally,2024-06-21,BUY,LSA,20,50,,-1000,USD,Buy,6/21/2024
acc-schwab,2024-08-13,DIVIDEND,VNTR,,,,18,USD,Dividend,8/13/2024
acc-schwab,2024-08-19,DIVIDEND,HRZN,,,,25,USD,Dividend,8/19/2024
acc-agora,2024-09-01,DIVIDEND,AGRB,,,,60,BRL,Dividend,9/1/2024
acc-ally,2024-09-23,SELL,LSA,20,42,,840,USD,Sell,9/23/2024
acc-ally,2024-10-09,BUY,STBL,15,42.11,,-631.65,USD,Buy,10/9/2024
acc-ally,2024-10-09,DIVIDEND,STBL,,,,8,USD,Dividend,10/9/2024
acc-ally,2024-10-21,DIVIDEND,CPWR,,,,20,USD,Dividend,10/21/2024
acc-ally,2024-12-05,DIVIDEND,QRTZ,,,,10,USD,Dividend,12/5/2024
acc-agora,2024-12-06,DIVIDEND,AGRB,,,,60,BRL,Dividend,12/6/2024
acc-schwab,2024-12-27,BUY,NVGX,31,92.2,,-2858.2,USD,Buy,12/27/2024
acc-agora,2025-02-28,BUY,LSC,100,40,,-4000,BRL,Buy,2/28/2025
acc-agora,2025-03-13,DIVIDEND,AGRB,,,,60,BRL,Dividend,3/13/2025
acc-ally,2025-03-18,DIVIDEND,STBL,,,,8,USD,Dividend,3/18/2025
acc-schwab,2025-04-02,DIVIDEND,VNTR,,,,18,USD,Dividend,4/2/2025
acc-schwab,2025-04-06,DIVIDEND,HRZN,,,,25,USD,Dividend,4/6/2025
acc-schwab,2025-05-02,BUY,MDLN,60,30.49,,-1829.4,USD,Buy,5/2/2025
acc-schwab,2025-05-16,BUY,GRW,50,15.24,,-762,USD,Buy,5/16/2025
acc-ally,2025-05-18,DIVIDEND,CPWR,,,,20,USD,Dividend,5/18/2025
acc-ally,2025-06-17,DIVIDEND,QRTZ,,,,10,USD,Dividend,6/17/2025
acc-agora,2025-06-18,DIVIDEND,AGRB,,,,60,BRL,Dividend,6/18/2025
acc-agora,2025-07-05,BUY,TSVL,100,25.51,,-2551,BRL,Buy,7/5/2025
acc-schwab,2025-07-05,SELL,GRW,50,21.41,,1070.5,USD,Sell,7/5/2025
acc-agora,2025-07-05,DIVIDEND,TSVL,,,,40,BRL,Dividend,7/5/2025
acc-agora,2025-07-20,SELL,LSC,100,33,,3300,BRL,Sell,7/20/2025
acc-ally,2025-08-25,DIVIDEND,STBL,,,,8,USD,Dividend,8/25/2025
acc-agora,2025-09-23,DIVIDEND,AGRB,,,,60,BRL,Dividend,9/23/2025
